Model,ImageNet,CIFAR-100,V4,IT,IT (new data),IT (new images),Behavior,Behavior (new data),V4 (early),V4 (late),IT (early),IT (late),OST,Brain-Score,Depth,V4 number of features,IT number of features,Paper
BaseNet6 75_3--60000,0.1673,,0.611540489,0.523379623,,,0.13349584118719304,,,,,,0.0,0.3171039882967983,6.0,,,
BaseNet6 s56_1_noV1stride--40000,0.16126,,0.5732491710000001,0.499681053,,,0.1928032265152848,,,,,,0.0,0.3164333626288212,6.0,,,
BaseNet6 50_s112_2--40000,0.17434000000000002,,0.593443316,0.516379484,,,0.15314392125317952,,,,,,0.0,0.31574168031329486,6.0,,,
BaseNet6 125_0--40000,0.12582000000000002,,0.610621017,0.508777888,,,0.14249191018974877,,,,,,0.0,0.31547270379743725,6.0,,,
BaseNet6 s112_occ_noV1stride_6--20000,0.12369999999999999,,0.62767301,0.504631356,,,0.12727163568870917,,,,,,0.0,0.3148940004221773,6.0,,,
BaseNet6 s112_belu_noV1stride--260000,0.20564,,0.6372155979999999,0.506618303,,,0.10754398712276604,,,,,,0.0,0.3128444720306915,6.0,,,
BaseNet6 s112_belu_noV1stride--80000,0.1911,,0.631490109,0.49773834200000006,,,0.11972756843367163,,,,,,0.0,0.31223900485841793,6.0,,,
BaseNet6 50_s112_2--20000,0.1149,,0.583922066,0.509692771,,,0.15375084903775804,,,,,,0.0,0.3118414215094395,6.0,,,
BaseNet6 125_0--20000,0.0641,,0.600487236,0.49916646600000003,,,0.14527967860948868,,,,,,0.0,0.31123334515237217,6.0,,,
BaseNet6 s112_belu_noV1stride--160000,0.20498000000000002,,0.632846366,0.49622905700000003,,,0.11442005788169846,,,,,,0.0,0.3108738702204246,6.0,,,
BaseNet6 s112_belu_noV1stride--120000,0.20722,,0.638990043,0.492559569,,,0.10626426372084023,,,,,,0.0,0.30945346893021003,6.0,,,
BaseNet6 s112_belu_noV1stride--100000,0.20824,,0.635073501,0.497742896,,,0.10447112555349101,,,,,,0.0,0.30932188063837274,6.0,,,
BaseNet6 s56_1_noV1stride--20000,0.12866,,0.567833453,0.5048849639999999,,,0.16419122065441172,,,,,,0.0,0.30922740941360294,6.0,,,
BaseNet6 s112_belu_noV1stride--140000,0.20628,,0.631760665,0.499509928,,,0.103351138512111,,,,,,0.0,0.30865543287802777,6.0,,,
BaseNet6 s112_belu_noV1stride--60000,0.18288000000000001,,0.6307100929999999,0.490755211,,,0.11040699296974638,,,,,,0.0,0.3079680742424366,6.0,,,
BaseNet6 s112_belu_noV1stride--240000,0.20125999999999997,,0.63591861,0.48855150299999994,,,0.10529159373484445,,,,,,0.0,0.30744042668371113,6.0,,,
BaseNet6 75_3--40000,0.13944,,0.6063569529999999,0.512578834,,,0.10985196513813651,,,,,,0.0,0.3071969380345341,6.0,,,
BaseNet6 s112_belu_noV1stride--220000,0.21226,,0.6302524970000001,0.495737675,,,0.10245199103750134,,,,,,0.0,0.30711054075937533,6.0,,,
BaseNet6 75_3--20000,0.07047999999999999,,0.602926808,0.496067109,,,0.1291489109890358,,,,,,0.0,0.30703570699725896,6.0,,,
BaseNet6 s112_belu_noV1stride--180000,0.20222,,0.625836808,0.497859874,,,0.10429319970742662,,,,,,0.0,0.3069974704268566,6.0,,,
BaseNet6 s112_belu_noV1stride--200000,0.20855999999999997,,0.633143905,0.493035404,,,0.10012490408844885,,,,,,0.0,0.3065760532721122,6.0,,,
BaseNet6 s112_brelu_noV1stride--160000,0.15912,,0.624241599,0.478950771,,,0.11827294133017677,,,,,,0.0,0.3053663278325442,6.0,,,
BaseNet6 s112_brelu_noV1stride--300000,0.15994000000000003,,0.6132464329999999,0.47817529299999995,,,0.11311526515949089,,,,,,0.0,0.3011342477898727,6.0,,,
BaseNet6 s112_brelu_noV1stride--240000,0.1618,,0.617905406,0.47569374,,,0.1058246471417771,,,,,,0.0,0.29985594828544426,6.0,,,
